Sr No,Node ID,Type,Master Node ID
1,1001,Master,1001
2,1002,Master,1002
3,1003,Master,1003
4,1004,Master,1004
5,1005,Master,1005
6,1006,Sensor,1001
7,1007,Sensor,1001
8,1008,Sensor,1001
9,1009,Sensor,1001
10,1010,Sensor,1001
11,1011,Sensor,1001
12,1012,Sensor,1001
13,1013,Sensor,1001
14,1014,Sensor,1001
15,1015,Sensor,1001
16,1016,Sensor,1001
17,1017,Sensor,1001
18,1018,Sensor,1002
19,1019,Sensor,1002
20,1020,Sensor,1002
21,1021,Sensor,1002
22,1022,Sensor,1002
23,1023,Sensor,1002
24,1024,Sensor,1002
25,1025,Sensor,1002
26,1026,Sensor,1003
27,1027,Sensor,1004
28,1028,Sensor,1004
29,1029,Sensor,1005
30,1030,Sensor,1001
31,1031,Sensor,1001
32,1032,Sensor,1001
